Node_ID,X,Y,Z
218,8.9999999999999,5.9999999999999,9.0
219,5.9999999999999,5.9999999999999,12.0
220,8.9999999999999,5.9999999999999,12.0
221,18.0,15.0,0.0
222,15.0,15.0,0.0
223,18.0,15.0,3.0
224,15.0,15.0,3.0
225,18.0,15.0,6.0
226,15.0,15.0,6.0
227,18.0,15.0,9.0
228,15.0,15.0,9.0
229,18.0,15.0,12.0
230,15.0,15.0,12.0
231,8.9999999999999,18.0,0.0
232,8.9999999999999,18.0,3.0
233,8.9999999999999,18.0,6.0
234,8.9999999999999,18.0,9.0
235,8.9999999999998,18.0,12.0
236,9.0,36.0,0.0
237,12.0,36.0,0.0
238,9.0,36.0,3.0
239,12.0,36.0,3.0
240,9.0,36.0,6.0
241,12.0,36.0,6.0
242,8.9999999999999,36.0,9.0
243,12.0,36.0,9.0
244,8.9999999999999,36.0,12.0
245,12.0,36.0,12.0
246,15.0,24.0,0.0
247,15.0,24.0,3.0
248,15.0,24.0,6.0
249,15.0,24.0,9.0
250,15.0,24.0,12.0
251,3.0,42.0,0.0
252,3.0,45.0,0.0
253,3.0,42.0,3.0
254,3.0,45.0,3.0
255,3.0,42.0,6.0
256,3.0,45.0,6.0
257,3.0,42.0,9.0
258,3.0,45.0,9.0
259,3.0,42.0,12.0
260,3.0,45.0,12.0
261,3.0,39.0,0.0
262,0.0,39.0,0.0
263,0.0,36.0,0.0
264,3.0,36.0,0.0
265,3.0,39.0,3.0
266,3.005480478e-15,39.0,3.0000000000001
267,1.903298358e-15,36.0,3.0000000000001
268,3.0,36.0,3.0
269,3.0,39.0,6.0
270,-5.97444815e-15,39.0,6.0000000000001
271,-7.26032729e-15,36.0,6.0000000000001
272,3.0,36.0,6.0
273,3.0,39.0,9.0
274,-1.49543768e-14,39.0,9.0000000000001
275,-1.64239529e-14,36.0,9.0
276,3.0,36.0,9.0
277,3.0,39.0,12.0
278,-2.39343054e-14,39.0,12.0
279,-2.55875786e-14,36.0,12.0
280,3.0,36.0,12.0
281,6.0,30.0,0.0
282,6.0,33.0,0.0
283,6.0,30.0,3.0
284,6.0,33.0,3.0
285,5.9999999999999,30.0,6.0
286,6.0,33.0,6.0
287,5.9999999999999,30.0,9.0
288,5.9999999999999,33.0,9.0
289,5.9999999999999,30.0,12.0
290,5.9999999999999,33.0,12.0
291,6.0,12.0,0.0
292,6.0,9.0,0.0
293,6.0,12.0,3.0
294,6.0,8.9999999999999,3.0
295,5.9999999999999,12.0,6.0
296,5.9999999999999,8.9999999999999,6.0
297,5.9999999999999,12.0,9.0
298,5.9999999999999,8.9999999999999,9.0
299,5.9999999999999,12.0,12.0
300,5.9999999999999,8.9999999999999,12.0
301,6.0,3.0,0.0
302,6.0,-3.55271368e-14,0.0
303,9.0,-3.19744231e-14,0.0
304,9.0,3.0,0.0
305,6.0,3.0,3.0
306,6.0,-4.09062599e-14,3.0
307,9.0,-4.19957125e-14,3.0
308,9.0,2.9999999999999,3.0
309,6.0,2.9999999999999,6.0
310,6.0,-6.6532844e-14,6.0
311,9.0,-6.72908951e-14,6.0
312,9.0,2.9999999999999,6.0
313,6.0,2.9999999999999,9.0
314,6.0,-9.21594282e-14,9.0
315,9.0,-9.25860777e-14,9.0
316,9.0,2.9999999999999,9.0
317,6.0,2.9999999999999,12.0
318,6.0,-1.17786012e-13,12.0
319,9.0,-1.1788126e-13,12.0
320,9.0,2.9999999999999,12.0
321,15.0,-2.84217094e-14,0.0
322,12.0,-3.19744231e-14,0.0
323,15.0,-4.70167886e-14,3.0
324,12.0,-4.45062505e-14,3.0
325,15.0,-7.09386253e-14,6.0
326,12.0,-6.73384034e-14,6.0
327,15.0,-9.48604621e-14,9.0
328,12.0,-9.01705562e-14,9.0
329,15.0,-1.18782299e-13,12.0
330,12.0,-1.13002709e-13,12.0
331,27.0,9.0,0.0
332,27.0,12.0,0.0
333,24.0,12.0,0.0
334,24.0,9.0,0.0
335,27.0,8.9999999999999,3.0
336,27.0,12.0,3.0
337,24.0,12.0,3.0
338,24.0,8.9999999999999,3.0
339,27.0,8.9999999999999,6.0
340,27.0,12.0,6.0
341,24.0,12.0,6.0
342,24.0,8.9999999999999,6.0
343,27.0,9.0,9.0
344,27.0,12.0,9.0
345,24.0,12.0,9.0
346,24.0,9.0,9.0
347,27.0,9.0,12.0
348,27.0,12.0,12.0
349,24.0,12.0,12.0
350,24.0,9.0,12.0
351,0.0,24.0,0.0
352,-2.50543012e-15,24.0,3.0
353,-1.24038438e-14,24.0,6.0
354,-2.23022576e-14,24.0,9.0
355,-3.22006713e-14,24.0,12.0
356,33.0,12.0,0.0
357,33.0,15.0,0.0
358,30.0,15.0,0.0
